major_classification,minor_classification,company_number,total_word_count,governance_word_count,strategy_word_count,talent_strategy_word_count,risk_management_word_count,indicators_word_count,talent_indicators_word_count,,,,,,,,,,,
売上小,鉄鋼・非鉄 ,30,3007,374,1305,864,264,640,498,,,,,,,,,,,
売上小,エネルギー資源 ,4,2605,237,780,393,142,395,189,,,,,,,,,,,
売上小,銀行 ,0,None,None,None,None,None,None,None,,,,,,,,,,,
売上小,自動車・輸送機 ,44,2876,371,792,725,325,422,357,,,,,,,,,,,
売上小,電力・ガス ,3,5093,296,603,645,234,239,325,,,,,,,,,,,
MSCIスコアA以上,小売 ,9,7863,337,1760,2353,308,1115,1043,,,,,,,,,,,
MSCIスコアA以上,不動産 ,5,6707,596,1862,941,1029,1396,1303,,,,,,,,,,,
MSCIスコアA以上,機械 ,12,7427,455,2385,2027,393,1427,994,,,,,,,,,,,
MSCIスコアA以上,電機・精密 ,30,9104,629,2051,2332,554,1606,1183,,,,,,,,,,,
MSCIスコアA以上,情報通信・サービスその他 ,27,7243,503,1389,1376,468,961,1040,,,,,,,,,,,
MSCIスコアA以上,商社・卸売 ,6,8651,883,2635,2186,584,975,844,,,,,,,,,,,
MSCIスコアA以上,建設・資材 ,8,7014,449,2097,1763,411,1198,849,,,,,,,,,,,
MSCIスコアA以上,運輸・物流 ,19,6007,512,1750,1294,464,646,568,,,,,,,,,,,
MSCIスコアA以上,食品 ,6,9736,669,2131,2353,515,1009,1143,,,,,,,,,,,
MSCIスコアA以上,金融（除く銀行） ,8,10547,1144,2806,3120,793,1268,1731,,,,,,,,,,,
MSCIスコアA以上,素材・化学 ,18,6048,526,1023,1523,364,676,1077,,,,,,,,,,,
MSCIスコアA以上,医薬品 ,5,10110,740,2670,2061,323,1157,1515,,,,,,,,,,,
MSCIスコアA以上,鉄鋼・非鉄 ,10,9434,863,1159,2931,460,1091,889,,,,,,,,,,,
MSCIスコアA以上,エネルギー資源 ,1,6206,987,893,893,218,252,252,,,,,,,,,,,
MSCIスコアA以上,銀行 ,4,13387,1729,5134,3668,1907,1010,481,,,,,,,,,,,
MSCIスコアA以上,自動車・輸送機 ,2,11293,770,4821,4962,477,3658,4962,,,,,,,,,,,
MSCIスコアA以上,電力・ガス ,5,4828,389,629,1238,438,456,657,,,,,,,,,,,
